Condition,PropertyType,PropertySubType,Bedrooms,Bathrooms,AreaNet,AreaGross,Parking,Latitude,Longitude,Parish,Price,PricePerBedroom,BathroomToBedroom,AreaUtilizationRatio,PropertyCategory
Used,Homes,Apartment,1,1,78.0,156.0,0,38.7297,-9.1337,Penha de Franca,199900,199900.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,4,2,117.0,234.0,0,38.7335,-9.1363,Arroios,450000,112500.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,3,1,100.0,200.0,0,38.7395,-9.1327,Arroios,390000,130000.0,0.3333333333333333,0.5,Homes_Apartment
Used,Homes,Apartment,3,3,153.0,306.0,0,38.7568,-9.0944,Parque das Nacoes,660000,220000.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,2,2,76.0,152.0,0,38.7523,-9.2049,Benfica,275000,137500.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,4,2,110.0,220.0,0,38.7321,-9.1284,Penha de Franca,320000,80000.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,1,1,60.0,120.0,0,38.7116,-9.1647,Estrela,110000,110000.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,60.0,120.0,0,38.7116,-9.1647,Estrela,179000,89500.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,1,1,30.0,60.0,0,38.7116,-9.1647,Estrela,125000,125000.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,60.0,120.0,0,38.7116,-9.1647,Estrela,179000,89500.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,50.0,100.0,0,38.7127,-9.1654,Estrela,168000,84000.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,68.0,136.0,0,38.7429,-9.1039,Marvila,125000,62500.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,3,1,100.0,200.0,0,38.7618,-9.1685,Lumiar,375000,125000.0,0.3333333333333333,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,64.0,128.0,0,38.7096,-9.1462,Misericordia,190000,95000.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,1,1,29.0,58.0,0,38.7147,-9.1333,Sao Vicente,85000,85000.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,1,1,29.0,58.0,0,38.7147,-9.1333,Sao Vicente,90000,90000.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,4,1,110.0,220.0,0,38.7218,-9.1367,Arroios,325000,81250.0,0.25,0.5,Homes_Apartment
Used,Homes,Apartment,4,2,109.0,218.0,0,38.7675,-9.1606,Lumiar,300000,75000.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,3,1,79.0,158.0,0,38.7276,-9.1661,Campolide,390000,130000.0,0.3333333333333333,0.5,Homes_Apartment
Used,Homes,Apartment,3,2,130.0,260.0,0,38.7353,-9.156,Avenidas Novas,750000,250000.0,0.6666666666666666,0.5,Homes_Apartment
Used,Homes,Apartment,8,6,266.125,532.25,0,38.742,-9.1469,Avenidas Novas,1380625,172578.125,0.75,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,68.0,136.0,0,38.729,-9.1373,Arroios,295000,147500.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,61.0,122.0,0,38.7265,-9.1177,Penha de Franca,213500,106750.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,3,3,195.0,390.0,0,38.7386,-9.1677,Campolide,875000,291666.6666666667,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,3,1,105.0,210.0,0,38.7491,-9.142,Alvalade,350000,116666.66666666667,0.3333333333333333,0.5,Homes_Apartment
Used,Homes,Apartment,1,1,57.0,114.0,0,38.7118,-9.1453,Misericordia,295000,295000.0,1.0,0.5,Homes_Apartment
Used,Single Habitation,Dwelling,5,3,190.0,380.0,0,38.7723,-9.1198,Olivais,850000,170000.0,0.6,0.5,Single Habitation_Dwelling
Used,Single Habitation,Isolated Villa,11,6,266.125,532.25,0,38.7497,-9.1347,Alvalade,1380625,125511.36363636363,0.5454545454545454,0.5,Single Habitation_Isolated Villa
New,Homes,Penthouse,3,3,230.0,460.0,0,38.7351,-9.1472,Avenidas Novas,1375000,458333.3333333333,1.0,0.5,Homes_Penthouse
